GEOID,NAME,variable,estimate,moe,total
27317,ZCTA5 27317,income,16169,875,0
27320,ZCTA5 27320,income,38997,1102,0
27325,ZCTA5 27325,income,7836,784,0
27326,ZCTA5 27326,income,2900,417,250
27330,ZCTA5 27330,income,40121,1079,4200
27332,ZCTA5 27332,income,30743,1584,0
27340,ZCTA5 27340,income,43,48,0
27341,ZCTA5 27341,income,4810,658,0
27343,ZCTA5 27343,income,1772,460,0
27344,ZCTA5 27344,income,19116,787,250
27349,ZCTA5 27349,income,5825,589,100
27350,ZCTA5 27350,income,6412,814,500
27355,ZCTA5 27355,income,2394,559,0
27356,ZCTA5 27356,income,2759,460,0
27357,ZCTA5 27357,income,8901,787,0
27358,ZCTA5 27358,income,15028,665,250
27360,ZCTA5 27360,income,45974,1284,477.5
27370,ZCTA5 27370,income,14409,929,0
27371,ZCTA5 27371,income,8431,647,0
27376,ZCTA5 27376,income,9802,989,2976.25
27377,ZCTA5 27377,income,8612,1259,252.5
27379,ZCTA5 27379,income,5246,757,0
27401,ZCTA5 27401,income,23388,1316,0
27403,ZCTA5 27403,income,22867,971,2230
27405,ZCTA5 27405,income,48879,2036,0
27406,ZCTA5 27406,income,63199,2554,350
27407,ZCTA5 27407,income,51900,1831,3685.25
27408,ZCTA5 27408,income,18323,751,26050
27409,ZCTA5 27409,income,17223,1263,2000
27410,ZCTA5 27410,income,55707,1643,7800
27455,ZCTA5 27455,income,28791,1288,700
27501,ZCTA5 27501,income,21055,1157,0
27502,ZCTA5 27502,income,41455,831,6345
27503,ZCTA5 27503,income,6377,922,1100
27504,ZCTA5 27504,income,15593,1433,0
27505,ZCTA5 27505,income,6943,786,0
27507,ZCTA5 27507,income,1930,461,0
27508,ZCTA5 27508,income,1413,397,500
27509,ZCTA5 27509,income,6070,466,0
27510,ZCTA5 27510,income,15117,554,8930.75
27511,ZCTA5 27511,income,34078,974,13746.15
27513,ZCTA5 27513,income,45542,1080,28537.03
27514,ZCTA5 27514,income,33208,1034,109497.89
27516,ZCTA5 27516,income,43036,1254,49926.24
27517,ZCTA5 27517,income,25355,869,69073
27518,ZCTA5 27518,income,20102,780,14125
