contributor_zip,total,NAME,variable,estimate,moe
28363,3100,ZCTA5 28363,income,1415,437
28365,1100,ZCTA5 28365,income,15533,1054
28371,18,ZCTA5 28371,income,6964,844
28374,43782,ZCTA5 28374,income,17347,341
28376,1361.25,ZCTA5 28376,income,44967,729
28377,600,ZCTA5 28377,income,12654,887
28379,10,ZCTA5 28379,income,24512,856
28382,8,ZCTA5 28382,income,7252,1027
28385,6950,ZCTA5 28385,income,2277,561
28386,15,ZCTA5 28386,income,6258,632
28387,5700,ZCTA5 28387,income,15437,727
28390,900,ZCTA5 28390,income,24768,1006
28394,1450,ZCTA5 28394,income,5547,840
28395,600,ZCTA5 28395,income,2046,366
28398,2500,ZCTA5 28398,income,8296,979
28401,640,ZCTA5 28401,income,24656,1169
28403,19111.25,ZCTA5 28403,income,41525,1199
28405,17553.75,ZCTA5 28405,income,32909,1352
28409,16997.5,ZCTA5 28409,income,34849,1231
28411,38490.27,ZCTA5 28411,income,39019,1092
28412,4980,ZCTA5 28412,income,39106,1406
28420,3350,ZCTA5 28420,income,4075,762
28422,833.75,ZCTA5 28422,income,8116,658
28425,1010,ZCTA5 28425,income,11833,859
28428,13120,ZCTA5 28428,income,6611,129
28429,40,ZCTA5 28429,income,7058,938
28432,175,ZCTA5 28432,income,1407,387
28443,7009.32,ZCTA5 28443,income,23266,1017
28445,255,ZCTA5 28445,income,7196,744
28451,4580.22,ZCTA5 28451,income,35236,1297
28457,100,ZCTA5 28457,income,10299,838
28458,50,ZCTA5 28458,income,6761,780
28460,700,ZCTA5 28460,income,10845,977
28461,6582,ZCTA5 28461,income,20506,601
28462,825,ZCTA5 28462,income,12917,1120
28463,10,ZCTA5 28463,income,9116,727
28465,1302.5,ZCTA5 28465,income,7432,306
28466,3125,ZCTA5 28466,income,9292,760
28467,790,ZCTA5 28467,income,10688,817
28468,1485,ZCTA5 28468,income,5235,524
28469,5325,ZCTA5 28469,income,6094,603
28470,590,ZCTA5 28470,income,12812,755
28472,1325,ZCTA5 28472,income,18522,960
28478,350,ZCTA5 28478,income,4757,668
28480,1600,ZCTA5 28480,income,2599,55
28501,733.75,ZCTA5 28501,income,17772,861
28504,4900,ZCTA5 28504,income,21717,1052
28510,2850,ZCTA5 28510,income,1508,158
28512,1000,ZCTA5 28512,income,3211,290
28513,550,ZCTA5 28513,income,10339,729
28516,10522,ZCTA5 28516,income,11455,655
28523,750,ZCTA5 28523,income,2196,401
28529,1050,ZCTA5 28529,income,1920,307
28530,60,ZCTA5 28530,income,6577,921
28532,1400,ZCTA5 28532,income,22220,1087
28538,550,ZCTA5 28538,income,2008,471
28539,37.5,ZCTA5 28539,income,16509,1141
28540,9478.7,ZCTA5 28540,income,49144,2003
28546,10547,ZCTA5 28546,income,46435,2109
28557,13150,ZCTA5 28557,income,15298,500
28560,3073,ZCTA5 28560,income,27458,1259
28562,10288,ZCTA5 28562,income,38317,1191
28570,830,ZCTA5 28570,income,21402,764
28571,4475,ZCTA5 28571,income,2474,246
28572,1150,ZCTA5 28572,income,6866,902
28574,4625.9,ZCTA5 28574,income,18448,1319
28580,600,ZCTA5 28580,income,13010,578
28582,55,ZCTA5 28582,income,2507,522
28584,9792,ZCTA5 28584,income,12536,708
28590,6275,ZCTA5 28590,income,25032,1306
28594,6035,ZCTA5 28594,income,3702,30
28601,36920,ZCTA5 28601,income,51401,1536
28602,1695,ZCTA5 28602,income,28902,1222
28604,850,ZCTA5 28604,income,7227,643
28605,2450,ZCTA5 28605,income,3312,531
28607,2405.5,ZCTA5 28607,income,36550,792
28612,250,ZCTA5 28612,income,12314,927
28613,763,ZCTA5 28613,income,23353,1101
28617,600,ZCTA5 28617,income,1924,408
28621,100,ZCTA5 28621,income,10637,921
28625,12550.25,ZCTA5 28625,income,39559,1157
28630,5800,ZCTA5 28630,income,20262,1009
28636,1200,ZCTA5 28636,income,4901,635
28638,850,ZCTA5 28638,income,12277,845
28640,250,ZCTA5 28640,income,4985,692
28643,250,ZCTA5 28643,income,3842,603
28644,100,ZCTA5 28644,income,1147,331
28645,586.25,ZCTA5 28645,income,46232,1075
28646,2100,ZCTA5 28646,income,310,126
28650,1050,ZCTA5 28650,income,10955,782
28655,2255,ZCTA5 28655,income,55009,1052
28658,478.75,ZCTA5 28658,income,27688,1223
28660,120,ZCTA5 28660,income,2210,493
28669,20,ZCTA5 28669,income,2623,567
28673,875,ZCTA5 28673,income,6221,712
28675,500,ZCTA5 28675,income,6707,363
