contributor_zip,total,NAME,variable,estimate,moe
28269,20,ZCTA5 28269,income,77248,1886
28270,3133.25,ZCTA5 28270,income,36086,1341
28273,2427.86,ZCTA5 28273,income,41170,1747
28277,69397.78,ZCTA5 28277,income,72132,1385
28278,6100,ZCTA5 28278,income,29347,1357
28301,2900,ZCTA5 28301,income,16929,593
28303,1840,ZCTA5 28303,income,29888,1100
28305,1128.35,ZCTA5 28305,income,5751,370
28306,550,ZCTA5 28306,income,42973,1616
28311,500,ZCTA5 28311,income,35334,1168
28314,4510,ZCTA5 28314,income,58827,1167
28326,500,ZCTA5 28326,income,24217,1374
28334,6.25,ZCTA5 28334,income,23410,1071
28337,400,ZCTA5 28337,income,10574,870
28340,750,ZCTA5 28340,income,10075,602
28348,300,ZCTA5 28348,income,35721,1411
28349,150,ZCTA5 28349,income,2598,610
28358,5000,ZCTA5 28358,income,38858,945
28372,3200,ZCTA5 28372,income,14196,642
28374,250,ZCTA5 28374,income,17347,341
28377,500,ZCTA5 28377,income,12654,887
28387,500,ZCTA5 28387,income,15437,727
28398,1182.88,ZCTA5 28398,income,8296,979
28401,607.5,ZCTA5 28401,income,24656,1169
28403,787.5,ZCTA5 28403,income,41525,1199
28405,2900,ZCTA5 28405,income,32909,1352
28411,2106.25,ZCTA5 28411,income,39019,1092
28412,540,ZCTA5 28412,income,39106,1406
28422,6.25,ZCTA5 28422,income,8116,658
28428,1127.5,ZCTA5 28428,income,6611,129
28443,343.75,ZCTA5 28443,income,23266,1017
28445,1000,ZCTA5 28445,income,7196,744
28451,8.75,ZCTA5 28451,income,35236,1297
28461,1323,ZCTA5 28461,income,20506,601
28467,500,ZCTA5 28467,income,10688,817
28468,2.5,ZCTA5 28468,income,5235,524
28480,5000,ZCTA5 28480,income,2599,55
28504,500,ZCTA5 28504,income,21717,1052
28512,50,ZCTA5 28512,income,3211,290
28516,2366.25,ZCTA5 28516,income,11455,655
28518,1.25,ZCTA5 28518,income,8912,1109
28528,2000,ZCTA5 28528,income,619,252
28532,250,ZCTA5 28532,income,22220,1087
28539,237.5,ZCTA5 28539,income,16509,1141
28546,1099.25,ZCTA5 28546,income,46435,2109
28557,2100,ZCTA5 28557,income,15298,500
28560,1306.25,ZCTA5 28560,income,27458,1259
28562,350,ZCTA5 28562,income,38317,1191
28570,3400,ZCTA5 28570,income,21402,764
28571,290,ZCTA5 28571,income,2474,246
28574,750,ZCTA5 28574,income,18448,1319
28584,2385,ZCTA5 28584,income,12536,708
28594,852.5,ZCTA5 28594,income,3702,30
28601,8362.5,ZCTA5 28601,income,51401,1536
28602,1575,ZCTA5 28602,income,28902,1222
28604,22.619999999999997,ZCTA5 28604,income,7227,643
28605,7100,ZCTA5 28605,income,3312,531
28607,5950,ZCTA5 28607,income,36550,792
28609,2.5,ZCTA5 28609,income,5615,591
28612,200,ZCTA5 28612,income,12314,927
28613,550,ZCTA5 28613,income,23353,1101
28621,500,ZCTA5 28621,income,10637,921
28625,1447.6,ZCTA5 28625,income,39559,1157
28631,350,ZCTA5 28631,income,758,274
28635,300,ZCTA5 28635,income,3055,602
28645,3500,ZCTA5 28645,income,46232,1075
28650,25,ZCTA5 28650,income,10955,782
28655,970.75,ZCTA5 28655,income,55009,1052
28658,8.75,ZCTA5 28658,income,27688,1223
28659,500,ZCTA5 28659,income,21457,1225
28665,4.5,ZCTA5 28665,income,2376,480
28668,250,ZCTA5 28668,income,481,244
28673,2.5,ZCTA5 28673,income,6221,712
28675,125,ZCTA5 28675,income,6707,363
28679,40,ZCTA5 28679,income,1609,282
28681,500,ZCTA5 28681,income,26448,848
28682,2.5,ZCTA5 28682,income,1474,443
28683,285,ZCTA5 28683,income,1232,262
28690,1229.5,ZCTA5 28690,income,9189,725
28692,750,ZCTA5 28692,income,4070,574
28697,1764.75,ZCTA5 28697,income,13833,1050
28704,802.5,ZCTA5 28704,income,19261,1323
28711,1100,ZCTA5 28711,income,13269,518
28712,5399.45,ZCTA5 28712,income,19847,794
28713,250,ZCTA5 28713,income,8799,386
28714,1.25,ZCTA5 28714,income,16941,229
28715,1200,ZCTA5 28715,income,26476,1295
28721,62.5,ZCTA5 28721,income,10401,668
28722,2.5,ZCTA5 28722,income,6537,504
28723,210,ZCTA5 28723,income,10918,765
28725,250,ZCTA5 28725,income,26,30
28729,75,ZCTA5 28729,income,3114,522
28730,1752.5,ZCTA5 28730,income,9221,890
28731,3.75,ZCTA5 28731,income,8368,872
28732,3400,ZCTA5 28732,income,18107,877
28734,5575,ZCTA5 28734,income,27887,759
28739,1256.25,ZCTA5 28739,income,21492,908
28741,400,ZCTA5 28741,income,3672,349
28748,1350,ZCTA5 28748,income,12606,1020
28751,150,ZCTA5 28751,income,3473,330
28752,1000,ZCTA5 28752,income,30924,1064
28753,4891.25,ZCTA5 28753,income,9671,798
28754,650,ZCTA5 28754,income,10290,685
28759,2100,ZCTA5 28759,income,7456,284
28768,100,ZCTA5 28768,income,7504,683
