GEOID,NAME,variable,estimate,moe,total
28213,ZCTA5 28213,income,43099,1437,3678.75
28214,ZCTA5 28214,income,42412,1869,1375
28215,ZCTA5 28215,income,62543,1920,670
28216,ZCTA5 28216,income,49849,1988,635
28217,ZCTA5 28217,income,30082,1328,16127.54
28226,ZCTA5 28226,income,39796,1110,31023
28227,ZCTA5 28227,income,57336,1663,3840
28244,ZCTA5 28244,income,0,12,0
28262,ZCTA5 28262,income,43209,1667,1101
28269,ZCTA5 28269,income,77248,1886,4160
28270,ZCTA5 28270,income,36086,1341,3720
28273,ZCTA5 28273,income,41170,1747,50100
28277,ZCTA5 28277,income,72132,1385,33341
28278,ZCTA5 28278,income,29347,1357,6730
28280,ZCTA5 28280,income,0,12,0
28282,ZCTA5 28282,income,0,12,0
28301,ZCTA5 28301,income,16929,593,500
28303,ZCTA5 28303,income,29888,1100,13530
28304,ZCTA5 28304,income,36682,1040,4035
28305,ZCTA5 28305,income,5751,370,3753.75
28306,ZCTA5 28306,income,42973,1616,1768.75
28307,ZCTA5 28307,income,17065,1027,0
28308,ZCTA5 28308,income,588,216,0
28310,ZCTA5 28310,income,7066,1678,0
28311,ZCTA5 28311,income,35334,1168,2751.5
28312,ZCTA5 28312,income,19761,1138,3750
28314,ZCTA5 28314,income,58827,1167,1180
28315,ZCTA5 28315,income,13303,944,5950
28318,ZCTA5 28318,income,4250,687,0
28320,ZCTA5 28320,income,9233,828,0
28323,ZCTA5 28323,income,4207,572,300
28325,ZCTA5 28325,income,605,172,0
28326,ZCTA5 28326,income,24217,1374,2681.5
28327,ZCTA5 28327,income,17013,1023,10092.1
28328,ZCTA5 28328,income,27372,1139,7628
28330,ZCTA5 28330,income,293,190,0
28332,ZCTA5 28332,income,442,191,0
28333,ZCTA5 28333,income,10902,937,0
28334,ZCTA5 28334,income,23410,1071,1096
28337,ZCTA5 28337,income,10574,870,250
28338,ZCTA5 28338,income,4718,589,0
28339,ZCTA5 28339,income,7432,528,150
28340,ZCTA5 28340,income,10075,602,205
28341,ZCTA5 28341,income,5047,788,0
28342,ZCTA5 28342,income,216,76,0
28343,ZCTA5 28343,income,1457,281,0
28344,ZCTA5 28344,income,3726,884,0
28345,ZCTA5 28345,income,12003,800,0
28347,ZCTA5 28347,income,2187,385,0
28348,ZCTA5 28348,income,35721,1411,1671.5
28349,ZCTA5 28349,income,2598,610,16320
28350,ZCTA5 28350,income,144,169,0
28351,ZCTA5 28351,income,4598,437,0
28352,ZCTA5 28352,income,25575,497,1450
28356,ZCTA5 28356,income,4819,502,45
28357,ZCTA5 28357,income,2590,351,0
