zip,total,grand_total,percent
20878,321611.91,20328513.18,1.5820729590613374
20879,38186.58,20328513.18,0.187847382943724
20880,17330.52,20328513.18,0.08525227519861342
20882,49470.73,20328513.18,0.2433563613922895
20883,24499.01,20328513.18,0.12051550343634132
20885,167,20328513.18,8.215062189806445e-4
20886,81079.51,20328513.18,0.3988462377060082
20887,100,20328513.18,4.919198916051764e-4
20888,100,20328513.18,4.919198916051764e-4
20891,62,20328513.18,3.049903327952094e-4
20892,37.5,20328513.18,1.8446995935194116e-4
20893,35,20328513.18,1.7217196206181174e-4
20895,308058.19,20328513.18,1.5153995143288685
20896,25793.67,20328513.18,0.1268841935049969
20898,145.5,20328513.18,7.157434422855317e-4
20899,3250,20328513.18,0.015987396477168236
20901,265229.22,20328513.18,1.3047152915292548
20902,233189.66,20328513.18,1.1471063227064795
20903,62539.18,20328513.18,0.3076426664667662
20904,288676.34,20328513.18,1.4200563388177905
20905,97625.31,20328513.18,0.4802383191312175
20906,281501.71,20328513.18,1.3847629066987182
20907,881,20328513.18,0.004333814245041604
20908,175,20328513.18,8.608598103090588e-4
20910,645064.74,20328513.18,3.173201769791213
20911,1332,20328513.18,0.00655237295618095
20912,565004.06,20328513.18,2.779367359516846
20913,115225.42,20328513.18,0.5668167611656093
20914,1686,20328513.18,0.008293769372463275
20916,2831.68,20328513.18,0.013929597186605459
20917,100,20328513.18,4.919198916051764e-4
20919,105,20328513.18,5.165158861854352e-4
20920,271,20328513.18,0.001333102906250028
20950,25,20328513.18,1.229799729012941e-4
20952,70,20328513.18,3.443439241236235e-4
20953,19258.24,20328513.18,0.09473511333306474
20954,391.7,20328513.18,0.001926850215417476
20963,45.22,20328513.18,2.2244617498386077e-4
20978,27.5,20328513.18,1.352779701914235e-4
20979,3,20328513.18,1.4757596748155293e-5
20985,50,20328513.18,2.459599458025882e-4
20991,75,20328513.18,3.689399187038823e-4
20992,104.1,20328513.18,5.120886071609886e-4
20994,1594,20328513.18,0.007841203072186512
20995,79.5,20328513.18,3.910763138261153e-4
20996,33.5,20328513.18,1.647931636877341e-4
21001,27737.74,20328513.18,0.13644746054172568
21003,50,20328513.18,2.459599458025882e-4
21004,250,20328513.18,0.001229799729012941
21005,1301.12,20328513.18,0.006400468093653271
21009,18762.16,20328513.18,0.09229479713478976
21010,4170.9,20328513.18,0.020517486758960302
21012,78343,20328513.18,0.3853848006802434
21013,5974.25,20328513.18,0.02938852412422225
21014,60621.04,20328513.18,0.29820695425793065
21015,95821.03,20328513.18,0.47136270691096355
21016,45,20328513.18,2.213639512223294e-4
21017,4196.72,20328513.18,0.020644500474972762
21019,450,20328513.18,0.002213639512223294
21020,35,20328513.18,1.7217196206181174e-4
21022,1252,20328513.18,0.006158837042896809
21023,978.6,20328513.18,0.004813928059248257
21024,24.2,20328513.18,1.190446137684527e-4
21025,60,20328513.18,2.9515193496310586e-4
21027,100,20328513.18,4.919198916051764e-4
21028,5138.14,20328513.18,0.025275532718522214
21029,52256.39,20328513.18,0.2570595770447783
21030,88428.48,20328513.18,0.4349972829641051
21032,35314.24,20328513.18,0.17371777112919184
21033,127.5,20328513.18,6.271978617965999e-4
21034,2481.33,20328513.18,0.012206155846366723
21035,43091.73,20328513.18,0.2119767915067953
21036,4457.42,20328513.18,0.021926935632387456
21037,53078.12,20328513.18,0.26110183037006546
21038,5,20328513.18,2.459599458025882e-5
21040,7597.5,20328513.18,0.03737361376470328
21041,69.5,20328513.18,3.418843246655976e-4
21042,212014.27,20328513.18,1.042940367171506
21043,110968.32,20328513.18,0.5458752394600853
21044,275218.94,20328513.18,1.3538567113249154
21045,159432.62,20328513.18,0.7842807714872928
21046,58188.4,20328513.18,0.2862403142067865
21047,14208.02,20328513.18,0.06989207658324179
21048,10694.23,20328513.18,0.05260704462400825
21050,21222.82,20328513.18,0.1043992731395617
21051,787,20328513.18,0.0038714095469327384
21052,5,20328513.18,2.459599458025882e-5
21053,2589.16,20328513.18,0.012736593065484586
21054,17548.78,20328513.18,0.08632593955403087
21055,1000,20328513.18,0.004919198916051764
21056,12752.5,20328513.18,0.06273208417695013
21057,18056.99,20328513.18,0.08882592563515755
21058,205,20328513.18,0.0010084357777906117
21060,52983.69,20328513.18,0.2606373104164227
21061,32546.4,20328513.18,0.16010221560138715
21062,371,20328513.18,0.0018250227978552046
21069,24.5,20328513.18,1.2052037344326822e-4
21071,1953.5,20328513.18,0.00960965508250712
21073,75,20328513.18,3.689399187038823e-4
21074,26773.02,20328513.18,0.1317018109634322
21075,31803.44,20328513.18,0.15644744757471732
21076,35991.71,20328513.18,0.17705038081884944
21077,645,20328513.18,0.0031728833008533882
21078,52199.86,20328513.18,0.25678149473005385
21082,730.92,20328513.18,0.003595540871720555
21083,45,20328513.18,2.213639512223294e-4
21084,5903.96,20328513.18,0.029042753632412974
21085,10388.52,20328513.18,0.051103196323382075
21087,2872.35,20328513.18,0.014129661006521285
21090,8394.64,20328513.18,0.04129490398864478
21093,100859.02,20328513.18,0.49614558185804325
21094,2111,20328513.18,0.010384428911785273
21101,228.8,20328513.18,0.0011255127119926436
21102,6690.81,20328513.18,0.03291342529950831
21104,18593.88,20328513.18,0.09146699434119658
21105,70,20328513.18,3.443439241236235e-4
21106,250,20328513.18,0.001229799729012941
21108,39812.55,20328513.18,0.19584585280525668
21111,22119.91,20328513.18,0.10881223729516257
21112,37.5,20328513.18,1.8446995935194116e-4
21113,70935.15,20328513.18,0.3489441129899693
21114,42239.22,20328513.18,0.20778312523887202
21117,93614.29,20328513.18,0.4605073138949555
21118,5,20328513.18,2.459599458025882e-5
21120,19602.23,20328513.18,0.09642726856819737
21122,33814.73,20328513.18,0.16634138316258307
21123,281,20328513.18,0.0013822948954105457
21127,61,20328513.18,3.000711338791576e-4
21128,7233.1,20328513.18,0.035581057679694016
21130,10,20328513.18,4.919198916051764e-5
21131,30505.57,20328513.18,0.1500629668775412
21132,5315.54,20328513.18,0.026148198606229793
21133,22103.65,20328513.18,0.10873225112078759
21134,26,20328513.18,1.278991718173459e-4
21135,20,20328513.18,9.838397832103528e-5
